date,cumulative_value,week
2025-10-11,2.0,Semana 1
2025-10-11,4.0,Semana 1
2025-10-11,8.0,Semana 1
2025-10-12,10.0,Semana 1
2025-10-15,13.0,Semana 2
2025-10-16,23.0,Semana 2
2025-10-18,25.0,Semana 2
2025-10-18,27.0,Semana 2
2025-10-20,30.0,Semana 3
2025-10-23,33.0,Semana 3
2025-10-25,34.0,Semana 3
2025-10-25,35.0,Semana 3
2025-10-26,36.0,Semana 4
2025-11-01,37.0,Semana 4
2025-11-01,42.0,Semana 4
2025-11-01,48.0,Semana 4
2025-11-01,49.0,Semana 4
2025-11-05,50.0,Semana 5
2025-11-07,60.0,Semana 5
2025-11-09,62.0,Semana 5
